ZIJLSTRA TRANSPORT B.V.;GRINDWEG 37;8485JC;MUNNEKEBUREN
HVZ TRANSP.& FOURAGE BV;MERWEDEWEG 4a;3621LR;BREUKELEN
K.L. ZIJLSTRA METAALBEW.;DE OFSLACH 11;9041VA;BERLIKUM FR
LOONBEDRIJF STOPPELS BV;RADSWEG 13;9983RB;ROODESCHOOL
PROFILE TYRECENTER EMMEN;KAPITEIN NEMOSTRAAT 2;7821AC;EMMEN
DRIESEN B.V.;SCHAARWEG 2;8325DC;VOLLENHOVE
REMCO BELGIUM NV;DE WETERING 2;4906CT;OOSTERHOUT NB
VAN DER LAAN V.O.F.;MOLENSTREEK 27;9684AR;FINSTERWOLDE
GEBR. BEENTJES B.V.;GEESTERWEG 6;1911NB;UITGEEST
BAS GROEP OSS B.V.;GREVELINGENMEER 25;5347JP;OSS
TRAILEREFFEKTER AB;SKENVAGEN 2;28143;HASSELEHOLM
OUWEHAND B.V.;INDUSTRIEWEG 20;8861VH;HARLINGEN
STET HEEMSKERK BV;STRENGWEG 1;1969KP;HEEMSKERK
RUYGROK V/D WERVEN TRANS.;HANNIE SCHAFTSTRAAT 41;3417CR;MONTFOORT
TRACSERVICE;GRAAUWEDIJK 75;9625PB;OVERSCHILD
BOBACH SERVICE NED. B.V.;WENCKEBACHSTRAAT 1;1951JZ;VELSEN-NOORD
ADRICHEM TRANSPORT BV;LIJNDENWEG 7;1948ND;BEVERWIJK
HVC;KOGGENRANDWEG 1;1775RG;MIDDENMEER
V DIJK AFVALINZAMELING BV;FINSE GOLF 18;3446CK;WOERDEN
KUIL TRAILER SERVICE BV;ENGELBERTERWEG 116;9723EP;GRONINGEN
V.O.O.R. GROBBINK;EVERSBERGWEG 120;7443PH;NIJVERDAL
BLOM'S AUTOMOBIELBEDR. BV;HEERENWEG 12;2222AM;KATWIJK ZH
BOUWMAN TECHN. SERVICE;WETH. TIMMERMANSTRAAT 21;7951SH;STAPHORST
J. BLOM OPMEER B.V.;DE VEKEN 123a;1716KG;OPMEER
WAGENBORG NEDLIFT B.V.;INDUSTRIEWEG 10;7761PV;SCHOONEBEEK
BO-STAAL;AMBACHTSTRAAT 10;1948PC;BEVERWIJK
DE GROOT TRANSPORT;BURG. BUISKOOLWEG 11;9551TX;SELLINGEN
WESSELING LOGISTICS;A. PHILIPSWEG 20;2171KX;SASSENHEIM
HIBEX B.V.;ADUARDERDIEPSTERWEG 6;9745EL;GRONINGEN
TECHNIEK SERVICE SNEEK BV;ZADELMAKERSSTRAAT 5;8601WH;SNEEK
BAKKERIJ VAN ECK;VOORWEG 96;9104CA;DAMWOUDE
KOROSTO ROAD CARGO V.O.F.;HOOILAND 12;2821ZG;STOLWIJK
VERDUYN GROUP GRONINGEN;HOENDIEP 199;9745EC;GRONINGEN
WILMAR TRANSPORT;KASTANJESTRAAT 4;9804SG;NOORDHORN
BOUDEWIJN BULTENA;HOOFDSTRAAT 126;9982AJ;UITHUIZERMEEDEN
FA. A. V/D DOOL;NIJVERHEIDSBUURT 1;3474LA;ZEGVELD
TECHNICA MARINE SERVICE;HAKSTRAAT 24b;8308AH;NAGELE
ABR. DE HAAN GARAGE B.V.;EDISONWEG 37;2952AD;ALBLASSERDAM
ADEON TRAILER SERVICE;EEMHAVENSTRAAT 1;3089KD;ROTTERDAM
KLEYN TRUCKS B.V.;INDUSTRIEWEG 2;4214KZ;VUREN
VADER VERHUUR B.V.;MIELDIJK 5;1768BV;BASSINGERHORN
DE STEENAREND VOF;ZUIDERHOEKSWEG 1/A;9364TC;NUIS
SCHAAFSMA ZAND & GRIND BV;VAART ZUIDZIJDE 134;8426AL;APPELSCHA
AUTOBDR.HILBERT DOLDERSUM;VIOLENSTRAAT 30;9411GH;BEILEN
NOOTEBOOM TRAILERS BV;SCHEEPMAKERSSTRAAT 10;3334KG;ZWIJNDRECHT
BLAAK AUTOSCHADEHERSTEL;GIDEONWEG 4;9723BM;GRONINGEN
PRIJZENPALEIS;HAARLOSEWEG 18;7271BT;BORCULO
MAMMOET NEDERLAND BV;WITTE HEKWEG 4;1951HL;VELSEN-NOORD
V/D BEL SLOOPWERKEN BV;ZUIDERZEESTRAAT 16;1719LA;AARTSWOUD
H. BLOED;VOLTASTRAAT 4;2952AW;ALBLASSERDAM
EELCO DIJK LOON-EN GRONDWERK;WESTEIND 14;9636CD;ZUIDBROEK
SCHOUTEN UTRECHT;PROOSTWETERING 121;3543AD;UTRECHT
LOONWERKERSBEDR. ROSCO;MULDERSPARK 16;9351NR;LEEK
BOSWIJK TRANSPORT;SCHOOLKADE 111;9581HE;MUSSELKANAAL
KOOPS LOON & GRONDVERZET;ORGELMAKERSTRAAT 68;1825DZ;ALKMAAR
F.J.M. DE WIT BANDEN;METAALWEG 2;3751LS;BUNSCHOTEN
DE VRIES TRANSPORT OUDEWATER;BOEZEMSINGEL 13;3421VS;OUDEWATER
STURM AUTO BV;BREDASEWEG 225-227;4705RN;ROOSENDAAL
POLYWAARD B.V.;MAXWELLSTRAAT 2;1704SG;HEERHUGOWAARD
MAN NEDERLAND DEALER BV;AMBACHTSVELD 8;7327AZ;APELDOORN
V.O.F. WEST;SLAAGSEWEG 2a;3828PK;HOOGLAND
G.C. THIES TRANSPORT;ZEILMAKERSTRAAT 27;9403VA;ASSEN
BEELEN MIDDEN NED. BV;SCHONAUWENSEWEG 8;3991MC;HOUTEN
BRON AUTO'S BV;DE BOLDER 56;9206AR;DRACHTEN
FRIAMCO B.V.;DAMSINGEL27 30;9262NB;SUMAR
HOOGENDOORN B.V.;SCHONAUWENSEWEG 17;3994MC;HOUTEN
HFM TRANSPORT VOF;ZUIDERPARK 1004;9724AK;GRONINGEN
PAANS AUTOSERVICE;VAN HEEMSTRALAAN 2;3741HH;BAARN
MEINDERT MEIJER;BENEDEN WESTERDIEP 32;9645AK;VEENDAM
VENUS & DE WAARD BV;INDUSTRIESTRAAT 16-20;1976CV;IJMUIDEN
HANDELSOND. MENSINGA BV;GLASBLAZER 25;9502KC;STADSKANAAL
CDL TRANSPORT B.V.;VALKWEG 36;1118EC;SCHIPHOL
WAPENINGCENTRALE AVENHORN;SCHREPEL 20;1648GC;DE GOORN
SCHAPER TRANSPORT;OOSTWOUDERDORPSSTRAAT 50;1678HH;OOSTWOUD
J MONSMA TRANSPORTBEDRIJF BV;NETARIS BRUNGERSTRAAT 12;9077SZ;VROUWENPAROCHIE
VAALBURG CARROSSERIEBOUW;BOEKWEITSTRAAT 10;2153GL;NIEUW-VENNEP
SPORTSCOM.NL;TINALLINGERWEG 1;9951TT;WINSUM
BARELD DE VRIES TRANSPORT;GIEKERKERHOEK 26;9061AW;GIEKERK
J.W. DE LANGE B.V.;VEERWEG 6;2957CP;NIEUW LEKKERLAND
M. KUIJF TRANSPORT;GAGELDIJK 31;3602AH;MAARSSEN
STEF MEIJER B.V.;EKSTERSTRAAT 94;1742EW;SCHAGEN
BREZAN RAALTE;KLIPPERWEG 17;8102HR;RAALTE
POST HARDERWIJK GARAGE BV;HARDERWIJKERWEG 266;3845LD;HARDERWIJK
DIESEL TECHNIC BENELUX;GRUTTER 3;5253RM;NIEUWKUIJK
FLEN TRUCKSTYLING B.V.;TEYLINGERLAAN 7;2215RT;VOORHOUT
HOLST HANDELSONDERNEMING;SNEEUWBESSTRAAT 22;7906LH;HOOGEVEEN
HESSING LOGISTIEK B.V.;NIEUWMARKT 8;1681NP;ZWAAGDIJK-OOST
TR.SP.-EN OVERSL.KRAAN BV;KANAALDIJK 15;3542AP;UTRECHT
OOSTERVEEN TRANSPORT;KELVINSTRAAT 22;7701BZ;DEDEMSVAART
WIJNEN TRANSPORT B.V.;KANAALSTRAAT 100;5104AD;DONGEN
TIMMER & TIMMERMAN;RONDKAMP 2;9461VE;GIETEN
VIROL METAAL BV;HAVEN Z.Z. 21;9679TD;SCHEEMDA
ENGELS TRANSPORT;ONSTWEDDERWEG 18;9663BA;NIEUWE PEKELA
HOLTKAMP INT.TRANSPORT BV;KLOOSTERGANG 1;9675RG;WINSCHOTEN
BUSEMAN BV GRANEN EN MESTSTOFFEN;HAVEN N.Z. 4;9679TC;SCHEEMDA
DE BLAAUW MECHANISATIEBEDRIJVEN;WETTERWILLE 15A;8447GB;HEERENVEEN
INT. TRUCKING SERVICE BV;KAZERNESTAAT 4;9151HT;HOLWERD
VAN VLIET PARTS BV;PARALLELWEG ZUID 215;2914LE;NIEUWERKERK A/D IJSSEL
BEELEN NOORD-NEDERLAND BV;ADUARDERDIEPSTERWEG 8/2;9745EL;GRONINGEN
J.P. MONSMA;JOHAN WINKLERWEI 425;8915EZ;LEEUWARDEN
MINNEMA AUTO'S BV;CONRADIVEENLANDSTRAAT 100;9104BN;DAMWOUDE
DOUMA BIJLSMA V.O.F.;FRIESMAWEI 17;9007SE;IDAERD
P. BRUIN;EGMONDERMEER 8;1934PN;EGMOND AAN DEN HOEF
H. KROESKE INT.TRANSPORT;VALKLAAN 3;9648AK;WILDERVANK
TOON DE BROUWER TECHNICAL SUPPORT;HOOG HEUKELOM 1;5059AD;HEUKELOM
CARGOTEC NETHERLANDS BV;INDUSTRIEWEG 7;9781AC;BEDUM
VAN PIJKEREN TRANSPORT BV;KAMPERSTRAATWEG 25;8278AB;KAMPERVEEN
HANDELSOND. OUDEMAAS BV;DE PLAATS 15;3342GL;H.I. AMBACHT
FA GROENENDIJK & VERHOEFF;RONDWEG 34;3474KE;ZEGVELD
HEIKO TENT;WACHTHOORN 33;7854TM;AALDEN
TRUCK-ACCESSOIRES TERBORG;AKKERMANSBEEKWEG 6;7061ZA;TERBORG
NOOTEBOOM TRAILERS BV;NIEUWEWEG 190;6603BV;WIJCHEN
JAN BRUIN GRONDVERZET;BREGWEID 32a;1749DJ;WARMENHUIZEN
ALPAS HENDRION;DIAMANTWEG 7;1812RC;ALKMAAR
HANDELSONDERNEMING KLOP;TERPSTRAAT 1;9891BG;EZINGE
SLOT TRANSPORT BATHMEN;OOSTERENKWEG 23;7445AA;LAREN
LOONBEDRIJF ROKA;WINSUMERWEG 4;9738TD;GRONINGEN
KIERS EMMEN B.V.;MICHAEL STROGOFFSTRAAT 4;7821AL;EMMEN
GC CONTINENTAL LOGISTICS;ZANDVOORTSTRAAT 73-75;1976BN;IJMUIDEN
DALESSI TRUCKING B.V.;KERKWEG 3;7955AA;IJHORST
MARTIN HOFMAN TRANSPORT;SCHOOLSTRAAT 36;9902AS;APPINGEDAM
CTS GROUP TRANSPORT;SCHILLINGWEG 50;2153PL;NIEUW VENNEP
HARMS AUTOSCHADES;REMBRANDTLAAN 1a;9601XA;HOOGEZAND
MARTIJN'S MOTOR SERVICE;DE ZOOM 9b;9231DX;SURHUISTERVEEN
J. BROUWER & ZONEN BV;NIJVERHEIDSWEG 1;3433NP;NIEUWEGEIN
VAN DIJK COMMERCE BV;HOOFDWEG-WEST 64;9944EB;NIEUWOLDA
RAVO B.V.;OTTERKOOG 1;1822BW;ALKMAAR
VAN DER WAL TRANSPORT V.O.F;MEERTENWEI 4A;4033BB;LIENDEN
A. V/D MEULEN KOELTRANSP.;HET HELMHOUT 10;9206AZ;DRACHTEN
M. BROERS BV;WESTEINDERWEG 2;1687PK;WOGNUM
THEO ROOD BERGING EN TRANSPORT BV;DE CORANTIJN 33;1689AN;ZWAAG
HERMSEN VOLIEREBOUW NEDERLAND;MOLENSTEYN 3f;3454PT;DE MEERN
SCHOO TRANSPORT;LUYKENSTRAAT 26;9721JL;GRONINGEN
G. GOSMA INT. TRANSPORT;DS. FEITSMAWEG 34;9108NG;BROEKSTERWOUDE
HOLSTEGE TRANSPORT;ELZENWEG 4;8096RV;OLDEBROEK
LOONBEDRIJF T & R POMPER V.O.F.;VAARTWEG 83A;9422CT;SMILDE
JACK KRIJBOLDER;ZIJLWEG 10;5145NR;WAALWIJK
WIERDA BEDRIJFSWAGENS;KELVINLAAN 11;9207JB;DRACHTEN
SCHALKOORT BV;ZEKKENWEG 80;3151ZC;HOEK VAN HOLLAND
NIJWA GROEP BV DOETINCHEM;MERCURISTRAAT 16;7006RL;DOETINCHEM
MIRJAM TRANSPORT VOF;LAGENDIJK 134;2981EN;RIDDERKERK
TS METALS BV;SCHOLEKSTER 4;7741LK;COEVORDEN
B.J. VISSER TRANSPORT;HENDOWEG 8;9101PC;DOKKUM
GRANUBAND BV;SICILIEWEG 20;1045AS;AMSTERDAM
DE ZANDDIJK VOF;ZANDDIJK 7;3392KB;DORDRECHT
WAGENBORG NEDLIFT B.V.;DIAMANTSRAAT 20;7554TA;HENGELO
M & M TRUCK DESIGN;BREEDEWEER 52;3343CE;HENDRIK-IDO-AMBACHT
CARGOTEC NETHERLANDS B.V.;HESSELINGEN 42;7944HR;MEPPEL
V.O.F. F.A. DE GROOT;WEVERWIJK 10;4245KW;LEERBROEK
ERWIN GERDEZ INT. TRANSP.;TORENSTRAAT 46;9982AZ;UITHUIZERMEEDEN
CORNELIS VEENDAM BV;ZWAAIKOM 12;9641KV;VEENDAM
JUNGERIUS TRANSPORT & HANDELSONDERN;RIJNLANDERWEG 999;2132MN;HOOFDDORP
TRANS-COM B.V.;NOBELSTRAAT 30;3846CG;HARDERWIJK
MIDDELTRANS;IWEMALAAN 2;9365PS;NIEBERT
H. DE KLERK TRANSPORT BV;SCHOENMAKERIJ 2;4762AS;ZEVENBERGEN
CUPPERS CARROSSERIEEN;DIESELSTRAAT 13;7131PC;LICHTENVOORDE
JJ TRUCK;OTTERLOSEWEG 74;6733AN;WEKEROM
VOLVO GROUP TRUCK CENTER B.V.;VISSERSTRAAT 40;1431GJ;AALSMEER
SPUITERIJ PHILIPPI U.A;VLEUGELBOOT 41;3991CM;HOUTEN
FA. L. STOEL EXPEDITIE;TRANSPORTSTRAAT 3;8263BW;KAMPEN
KEES VERHOEF TRANSPORT;GAGELDIJK 3;3602AG;MAARSSEN
MOORMAN AUTOMATERIALEN;INDUSTRIEPARK 6;9351PA;LEEK
BEETS B.V.;WESTERWEG 35;1447AA;PURMEREND
H. WAAKSMA;HOLWERDERWEG 14;9145RK;TERNAARD
SCHOLTE TRANSPORT GROEP;KOPERSTRAAT 60;2718RE;ZOETERMEER
DIAMOND EXECUTIVE TRAVEL SERVICES;SPOORVEN 16;5464PA;VEGHEL
R. JALVING;VERLENGDE OOSTERDIEP 0.Z. 66;7884TG;BARGERCOMPASCUUM
GARAGEBEDRIJF VIERSLAGEN B.V.;DWARSAKKER 5;7761PW;SCHOONEBEEK
VOLVO GROUP TRUCK CENTER B.V.;RIJNSBURGERWEG 86 B;2231AG;RIJNSBURG
KOOMAN MEAT BV;BENELUXWEG 9;9636HV;ZUIDBROEK
HABECO;LEKDIJK 71;2957CD;NIEUW-LEKKERLAND
PRINS ZAADHANDEL&KWEKERIJ;MARKTKADE 9;9581AP;MUSSELKANAAL
VAN GANSEWINKEL NED BV REGIO NRD;INDUSTRIESTRAAT 34;9502EJ;STADSKANAAL
TRAD.COMP. V ADRIGHEM BV;GROENE KRUISWEG 2;3237KC;VIERPOLDERS
GEBR. RIEMSMA B.V.;VEENHUIZERWEG 2a;9342TL;EEN
SIETRANS B.V.;WARMOESWEG 17;7887TP;ERICA
OLDENBURGER TRANSPORT AALSMEER;LEGMEERDIJK 313;1431GB;AALSMEER
POLICHLO HOLLAND;OSLOWEG 136;9723BX;GRONINGEN
PIRTEK ALKMAAR;KITMANSTRAAT 4;1812PM;ALKMAAR
HEIWO - G&A BV;HONDERDLAND 10;2676LS;MAASDIJK
D.T.T.S.;REMBRANDTPLEIN 53;9601XC;HOOGEZAND
JAN KALK NATUURSTEEN;KLOMPENMAKER 2;9502EP;STADSKANAAL
ABEKO BV;KANAALWEG 2a;1948PN;BEVERWIJK
BOUDESTEIJN HANDEL;MARCONISTRAAT 30-32;1704RG;HEERHUGOWAARD
A.H.BELTMAN TR.SP OLST BV;DE MEENTE 22 A;8121EV;OLST
AUTOBANDENHAL.NL;AMBACHTSWEG 7;9482WD;TYNAARLO
KOK TRANSPORT V.O.F.;ZUIDERWEG 53;1461GD;ZUIDOOSTBEEMSTER
INTERMODAL SOLUTIONS B.V.;SPOORHAVENWEG 17;9645LZ;VEENDAM
JOH. A. HAK TRANSPORT VOF;SCHOONEBURGLAAN 62;2957BD;NIEUW-LEKKERLAND
TRANSP. CENTR. FREROE BV;TUPOLEVLAAN 32;1119NZ;SCHIPHOL-RIJK
BERGHOEF AMSTERDAM;BOLSTOEN 11;1046AS;AMSTERDAM
VDL WEWELER PARTS BV;WESTBAAN 323;2841MC;MOORDRECHT
VAN WAVEREN TRANSPORT;SLOTERWEG 1081;1066CE;AMSTERDAM
AUTOSCHADE BOS-POSTEMA;HOOFDSTRAAT 40;9861AJ;GROOTEGAST
DUTCH RESCUE VEHICLES BV;ZEPPELINSTRAAT 8;7903BP;HOOGEVEEN
ADCO LOGISTIEK;HYSOPHOF 18;3544BV;UTRECHT
SPRIK GRANEN ZUIDBROEK BV;STATIONSSTRAAT 7;9636BA;ZUIDBROEK
BUS 'HANDELMIJ B.V.;KOLDINGEWEG 26;9723HK;GRONINGEN
TOTAAL&AGRISERV. DIJKEMA;BOERDAMSTERWEG 16;9991BN;MIDDELSTUM
HARRIE KAMP INT.TRANSPORT;NOORDELICHT 6;3454SH;DE MEERN
SIMON VAN WEERDEN B.V.;EEMSKANAAL ZUIDZIJDE 7;9623PE;LAGELAND
AANNEMERSBEDRIJF BRUISSCHAART BV;AMBACHTSRING 27;1969NH;HEEMSKERK
VALX B.V.;JOHN F. KENNEDYLAAN 57;5555XC;VALKENSWAARD
V.O.F. BOLWIJN;PRINS BERNARDSTRAAT 6;9982GH;UITHUIZERMEEDEN
HOOGWOUT B.V.;AMBACHT 24;1511JZ;ZAANDAM
ZIJDERHAND TRANSPORT BV;WEG EN LAND 10;2661DB;BERGSCHENHOEK
CHRIS ENGEL;NOORDERVAART 129;1841GA;STOMPETOREN
ELTING STUKADOORS ENAAFB.;E.H. WOLTERSWEG 29;9831TG;ADUARD
ESSEX FREIGHT HOLLAND;KEURMEESTERSTRAAT 16;2984BA;RIDDERKERK
AUTOBEDRIJF ARNO SPRUIT;HEESWIJK 149 F;3417GP;MONTFOORT
DRE-TRANSPORT V.O.F.;FILIPSWEISTRAAT 3;4181CH;WAARDENBURG
EBAG TRUCKS EDE BV;NEWTONSTRAAT 5;6716BK;EDE
GARAGE THEO VRIESWIJK;DUINKERKENSTRAAT 35A;9723BP;GRONINGEN
BIEMOND & VAN WIJK;LAKENBLEKERSTRAAT 5-9;1431GE;AALSMEER
AUTOTEMP B.V.;OSLOWEG 128;9723BX;GRONINGEN
ASSENBERG B.V.;POLDERWEG 2b;3233LR;OOSTVOORNE
JONKMAN BV;PAPELEANTSJE 4;8711HG;WORKUM
EUROPE PALLET BV;KOEKOEKSEDIJK 12;4761PJ;ZEVENBERGEN
V. AALST BULK HANDLING BV;ENGELANDLAAN 56;2391PN;HAZERSWOUDE DORP
BENNY NAUTA INT.TRANSP.BV;DE ALDDIJK 26;9044MN;BEETGUM
BOUWMATERIALEN MONTFOORT;MASTWIJKERDIJK 102a;3417BT;MONTFOORT
TOOL LOGISTIC SUPPORT;DE OUDE MUNT 97;3824DJ;AMERSFOORT
SCHOUTEN TRANSPORT BV;MOLENBERGWEG 98;8075PJ;ELSPEET
CAR & TRUCK CARE NED. BV;INDUSTRIETERREIN 106;5981NC;PANNINGEN
CG CARGO TRANSPORT BV;NEPTUNUS 7;8448CN;HEERENVEEN
KLOOSTERMAN HANDELSONDERNEMING;HET HELMHOUT 15;9206AZ;DRACHTEN
SKIPTRANS;'T HERT 149;2266NE;LEIDSCHENDAM
EBAG TRUCKS NIJMEGEN BV;HOGELANDSEWEG 97;6545AB;NIJMEGEN
DE JONG LOON-EN GRONDVERZETBEDRIJF;BEINTEMAWEI 3;9295LD;WESTERGEEST
BOEKEE TRANSPORT;WOLWEVERSWEG 43;3262DG;OUD-BEIJERLAND
DAILYCOOL WAREHOUSING BV;SMARAGDWEG 3 (AFL. WARMENHUIZEN);1812RJ;ALKMAAR
VELDHUIZEN BV;KON. WILHELMINAWEG 259;3737BA;GROENEKAN
JEROEN HOP VERHUUR;SLICHTENHORSTERWEG 44;3862NS;NIJKERK
W. VAN HAARLEM BV;STRIJKVIERTEL 15;3454PH;DE MEERN
KICKER BENELUX;MARKETENTSTERLAAN 61;3454WP;DE MEERN
JOHAN'S KLUSSENBEDRIJF;PALETSTRAAT 5;1825KR;ALKMAAR
BENTVELZEN & JACOBS B.V.;CONCORDIASTRAAT 14;1951AS;VELSEN-NOORD
GEBR. SLUIMERS TRANSPORT;ARENT MAERTENSVLIET 1;2992WB;BARENDRECHT
PALLETHAND.J VAN 'T BOSCH;HARSELAARSEWEG 25;3771MA;BARNEVELD
GAR BOSSEN & DE BAKKER BV;DORPSSTRAAT 682;1723HL;NOORD-SCHARWOUDE
BSM BEDRIJFSWAGENS;INDUSTRIEWEG 1A;9749AJ;ROGAT (MEPPEL)
GARAGE DE JONG LEERBROEK BV;GAANWEG 10;4214KA;VUREN
VAN DER HAAS TRANSPORT BV;BURG. VAN DOORNLAAN 16-18;2678KB;DE LIER
A BOERS BV;NOORDZIJDE 15;2969AP;OUD-ALBLAS
DEJE TRANSP. DELFZIJL VOF;BURG. BUISKOOLPLEIN 2;9934PA;DELFZIJL
KARHOF NIEUW-VENNEP BV;ROGGESTRAAT 8;2153GC;NIEUW VENNEP
COSMO TRUCKS BV;BEEMSTERWEG 12b;1311XC;ALMERE
JRT MECH.EN CONSTR.;ABEL OLSDERWEG 1;9947PM;TERMUNTEN
DEKLEIN TRANSRO BV;DE ZWAAIKOM 24 (Valentin);9641KW;VEENDAM
VAN ECK LUCHTHAVEN SCHIPHOL;FOLKSTONENWEG 11;1118LM;LUCHTHAVEN SCHIPHOL
MAN NEDERLAND DEALER BV;ANTON PHILIPSWEG 15;2171KX;SASSENHEIM
PIETER SMIT;PESETAWEG 44;2153PJ;NIEUW VENNEP
PPM WERKT;STATIONSPARK 834;3364DA;SLIEDRECHT
TEN KATE VETTEN BV;HANDELSWEG 22;9563TR;TER APELKANAAL
ROELOFS MECH.&HANDELSOND.;HORTHOEKERWEG 4;8167LW;OENE
VEDAK TRADING;OLIJFBOOMSTRAAT 40;3552RE;UTRECHT
AUTOSCHADE WELLER;MOLENSTEYN 31;3454PT;DE MEERN
WENSINK GRONINGEN 2;BORNHOLMSTRAAT 60-B;9723AZ;GRONINGEN
TANKSTATION KOPER;TWIJVER 24;1606BW;VENHUIZEN
R. DE JONG TECHNIEK;RINIA VAN NOTAWEG 2;9061AE;GIEKERK
VAN MECHELEN TRANSPORT;MERWEDEWEG 4 a;3621LR;BREUKELEN
MOJO BARRIERS BV;VELDZIGT 3;3454PW;DE MEERN
STEVE'S PLACE;PLETTERIJ 5C;2211JT;NOORDWIJKERHOUT
N. OUD & ZONEN;ZAADMARKT 14;1681PD;ZWAAGDIJK
G.J. WIERSMA LOGISTICS;DE BUIZERD 32;9231KV;SURHUISTERVEEN
RTS HOLLAND;ZUIDWENDING 157;9644XD;VEENDAM
A. VAN DORP TRANSPORT VOF;LOPIKERWEG OOST 36C;3411JG;LOPIK
REVON;EINSTEINSTRAAT 6;2181AA;HILLEGOM
BOUSIE TRANSPORT;STEENBOKSTRAAT 12;2394PC;HAZERSWOUDE-RIJDIJK
GEBR. VERBURG B.V.;LOPIKERWEG OOST 36b;3411JG;LOPIK
HEEMSKERK SLOOTWEG;WALSERIJ 47;2211SJ;NOORDWIJKERHOUT
J&A TRANSPORT;1E EXLOERMOND 125;9573PG;1E EXLOERMOND
R. HOEKSMA TRANSPORT;DE GENTIAAN 25;9271LC;DE WESTEREEN
D. BEVING;H.F. DRESSELHUISSTRAAT 12;9693AM;BAD NIEUWESCHANS
COSMO TRUCKS BV;PARAMARIBOWEG 76;7333PB;APELDOORN
UCO KAMPEN BV;HAATLANDHAVEN 15;8263AS;KAMPEN
KBM MASTER ALLOYS BV;KLOOSTERLAAN 2;9936TE;DELFZIJL
DIJKEMA TRANSPORT WINSUM;JAN ALTINKWEG 35;9951MH;WINSUM
TRUCK & TRAILER CARE B.V.;AMBACHTSWEG 15 b;3771MG;BARNEVELD
TRUCK & TRAILER SERVICE HOLTEN B.V.;KEIZERSWEG 79;7451PH;HOLTEN
TRUCK & TRAILER SERVICE HOLTEN B.V.;DIJKSGRAAF 26;6921RL;DUIVEN
JAN DE ROOS VERHUUR BV *;UITHEIJING 6;8531XJ;LEMMER
MECHANISATIE CENTRUM VALTHERMOND;ZUIDERDIEP 244;7876AM;VALTHERMOND
C.G. VAN VUUREN;BLOKLAND 30;3417MP;MONTFOORT
GARAGE DUNNEBIER B.V.;DORPSSTRAAT 357;1566BD;ASSENDELFT
ANTON V DIJK BETONBOOR/ZAAGTECHNIEK;KLOMPENMAKERSWEG 5;3449JB;WOERDEN
CARR.BEDRIJF VAN VEEN;DECCAWEG 24;1042AD;AMSTERDAM
SCHONEWILLE GRONDVERZET;OOSTOPGAANDE 20;7918TD;NIEUWLANDE
VAN VARIK TECHNIEK;HORST TEN DAALLAAN 3 A-1;2181GP;HILLEGOM
WDM BEDR.WAGEN SERV. B.V.;RAVENWADE 126 - 128;3439LD;NIEUWEGEIN
AD NOOREN BV;OOSTUMERWEG 4;9893TC;GARNWERD
WEIDEMANN NEDERLAND BV;DE KOLK 67-69;8255PD;SWIFTERBANT
H. HATZMANN HOLDING B.V.;VAART Z.Z. 104;8426AJ;APPELSCHA
HENRI VERKLEIJ TRANSPORT;RIETKRAAG 9;3411GN;LOPIK
POLMAN TRANSPORT BV;VAN HALLWARE 122;8014RT;ZWOLLE
NABMIC B.V.;BROUWERSTRAAT 34;2984AR;RIDDERKERK
RUTGES REKLAME EN DESIGN BV;JULIANALAAN 24;3417GK;MONTFOORT
RAYRO TRUCKS;INDUSTRIEWEG 6C;3401MA;IJSSELSTEIN
NOORDER TRANSPORT BUTER;WEERDINGERKANAAL ZZ 236;7831AP;NIEUW-WEERDINGE
VAN BREDEN;OOSTERWEG 65;9367RK;DE WILP
TRANSP.BEDR. VAN VLIET BV;WATERINGVELDSEWEG 1;2291HE;WATERINGEN
TRUCK TRAILER REPAIR;TRANSPORTCENTRUM 8;7547RW;ENSCHEDE
GEBR. PEPPINCK;DOM HUYBENLAAN 3;1935BA;EGMOND-BINNEN
LANDB. & LOONBEDR. STUKJE;NW VEENDIJK 5;9566TJ;VEELERVEEN
MOURIK TECHNIEK B.V.;EDISONWEG 1;2964LK;GROOT-AMMERS
GARAGE WIJNIA;SNELLIUSSTRAAT 18;3846BT;HARDERWIJK
PETER APPEL TRANSPORT;AGRIPORT 201;1775TA;MIDDENMEER
WTV WESTLAND B.V.;TRANSPORTWEG 7;2676LM;MAASDIJK
ROELOF KREUZE TRANSP,HANDEL&VERHUUR;BURG.TONCKENSSTRAAT 33;7921KA;ZUIDWOLDE
SCHOEMAKER TENTENVERHUUR;MEPPELERWEG 32;7921VR;ZUIDWOLDE (DR)
FOURAGEHANDEL L.H. ROEKE;HERENBRINKSWEG 4;8144RC;LIERDERHOLTHUIS
MESKEN B.V.;LEEMDIJK 14 B;9422CL;SMILDE
MOOY LOGISTICS BV;TRANSPORTWEG 15;2742RH;WADDINXVEEN
WICHERSON TRADING BV;GASTHUISSTRAAT 3;8325BP;VOLLENHOVE
LASAULEC HEERENVEEN;KUPER 2;8447GK;HEERENVEEN
VLAROTECH B.V.;TUINSTRAAT 26;1654JW;BENNINGBROEK
AMBRI AFBOUW BV;NEUTRONWEG 55;3542AH;UTRECHT
A.J. JONGENEEL & ZONEN TRANSPORT BV;VOORSCHOTENWEG 52a;2235SH;VALKENBURG (ZH)
FLOOR TRUCK&TRAILERPARTS;CHR. HUYGENSSTRAAT 26a;6603BC;WIJCHEN
