PAUL VAN BEERS;EDAMMERWEG 1A;1481AR;PURMER
SCANIA NEDERLAND BV;EDISONSTRAAT 2a;7825GS;EMMEN
SCANIA NEDERLAND BV;SCANDINAVIEWEG 5;9723BW;GRONINGEN
SCANIA NEDERLAND BV;TOLHUSWEI 11;8501ZP;JOURE
SCANIA NEDERLAND BV;OLDENZAALSESTRAAT 280;7561RL;DEURNINGEN
SCANIA NEDERLAND BV;DRIEBORGHWEG 4;9641KM;VEENDAM
SCANIA NEDERLAND BV;SLEGO 4;1046BM;AMSTERDAM
SCANIA NEDERLAND BV;SAVANNAWEG 9;3542AW;UTRECHT
SCANIA NEDERLAND BV;HANDELSSTRAAT 29;3861RR;NIJKERK
SCANIA NEDERLAND BV;TULPENMARKT 5;1681PK;ZWAAGDIJK
F.J.J. BEERS TECH. OND.;PLANTSOEN 2;1718BE;HOOGWOUD
SCANIA NEDERLAND BV;KLEEFSTRAAT 2;8082PR;ZWOLLE
SCANIA NEDERLAND BV;NIJVERHEIDSWEG 23;9418TX;WIJSTER
W. BEITSMA;KAMERLINGH ONNESSTRAAT 4;8602BB;SNEEK
BE-JO VOF;INDUSTRIEWEG 5a;9804TH;NOORDHORN
MAIK BELDER;LANGE WELLE 33;3075XT;ROTTERDAM
BELGA INT.TRANSP. VOF;TRANSPORTWEG 3;9301ZX;RODEN
SCANIA NEDERLAND BV;SMARAGDWEG 16;1812RJ;ALKMAAR
BELYSA;TROMPSINGEL 1003;9724CW;GRONINGEN
BEMMEL CONTAINER SERVICE;HANDELSWEG 7;3481MJ;HARMELEN
BENEDICTUS TRANSPORT;B R VELTMANWEI 4;9261ZC;EASTERMAR
J.W. BENSCHOP & ZONEN;KAPELSEPAD 1;3412KL;LOPIKERKAPEL
SIMON BENUS BV;ELECTRONICAWEG 8;9503EX;STADSKANAAL
SCANIA NEDERLAND BV;SOLINGENSTRAAT 6;7421ZT;DEVENTER
GEBR. BERENDS LOONBEDRIJF;PEEBOSSERDWARSWEG 1;9863TL;DOEZUM
